OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Region,Country,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,Sales,Profit,IsReturn,SalesOutlier,OrderMonth,OrderYear,OrderQuarter,DayOfWeek,ShippingDelayDays,ProfitMargin
ORD-105528,2024-12-14,2024-12-22,Standard Class,CUST-00081,Barbara Sharma,Consumer,East,South Korea,PRD-1001,Bluetooth Speaker,Electronics,3,50.46,0.0,151.38,54.37,False,False,2024-12,2024,2024Q4,Saturday,8,0.3591623728365702
ORD-102711,2024-04-20,2024-04-24,Second Class,CUST-00074,Linda Muller,Corporate,East,Japan,PRD-1016,Ballpoint Pen Box,Office Supplies,2,6.42,0.2,10.27,3.01,False,False,2024-04,2024,2024Q2,Saturday,4,0.29308666017526774
ORD-100290,2024-12-02,2024-12-03,Same Day,CUST-00004,Michael Muller,Home Office,East,Japan,PRD-1042,Almond Butter Jar,Grocery,-3,10.13,0.0,-30.39,-11.06,True,False,2024-12,2024,2024Q4,Monday,1,0.363935505100362
ORD-102570,2024-11-19,2024-11-20,Same Day,CUST-00213,David Lee,Consumer,North,Canada,PRD-1016,Ballpoint Pen Box,Office Supplies,3,6.84,0.0,20.52,5.54,False,False,2024-11,2024,2024Q4,Tuesday,1,0.2699805068226121
ORD-103204,2023-10-12,2023-10-18,Second Class,CUST-00777,Fatima Dubois,Consumer,North,USA,PRD-1028,Recliner Chair,Furniture,1,317.45,0.0,317.45,85.52,False,False,2023-10,2023,2023Q4,Thursday,6,0.2693967553945503
ORD-101215,2023-06-12,2023-06-18,Second Class,CUST-00763,Marie Garcia,Consumer,East,Japan,PRD-1008,27-inch Monitor,Electronics,2,226.78,0.05,430.88,101.45,False,False,2023-06,2023,2023Q2,Monday,6,0.23544838470107687
ORD-100501,2023-11-27,2023-11-27,Same Day,CUST-00290,Fatima Muller,Consumer,West,Germany,PRD-1007,Mechanical Keyboard,Electronics,4,82.97,0.0,331.88,141.58,False,False,2023-11,2023,2023Q4,Monday,0,0.42659997589490184
ORD-101449,2024-05-12,2024-05-16,Second Class,CUST-00044,Jessica Garcia,Corporate,South,Mexico,PRD-1002,USB-C Hub,Electronics,3,29.82,0.0,89.46,22.94,False,False,2024-05,2024,2024Q2,Sunday,4,0.25642745361055225
ORD-105106,2024-11-06,2024-11-10,First Class,CUST-00544,Ahmed Brown,Corporate,West,Germany,PRD-1045,Pasta 500g,Grocery,1,2.65,0.0,2.65,1.07,False,False,2024-11,2024,2024Q4,Wednesday,4,0.4037735849056604
ORD-102426,2024-04-26,2024-05-02,Standard Class,CUST-00598,Thomas Muller,Home Office,East,India,PRD-1011,Stapler,Office Supplies,5,7.38,0.0,36.9,13.12,False,False,2024-04,2024,2024Q2,Friday,6,0.35555555555555557
ORD-103148,2023-12-11,2023-12-12,Same Day,CUST-00457,Richard Thomas,Corporate,East,China,PRD-1041,Olive Oil 1L,Grocery,1,10.94,0.0,10.94,3.49,False,False,2023-12,2023,2023Q4,Monday,1,0.31901279707495434
ORD-100846,2023-07-23,2023-07-23,Same Day,CUST-00582,Marie Dubois,Consumer,West,UK,PRD-1047,Granola Cereal,Grocery,3,5.83,0.0,17.49,7.13,False,False,2023-07,2023,2023Q3,Sunday,0,0.4076615208690681
ORD-101464,2023-11-20,2023-11-26,Standard Class,CUST-00394,Jessica Dubois,Home Office,East,Japan,PRD-1022,Sofa 3-Seater,Furniture,1,542.21,0.0,542.21,144.11,False,False,2023-11,2023,2023Q4,Monday,6,0.26578263034617583
ORD-105743,2024-07-25,2024-07-25,Same Day,CUST-00735,Mary Williams,Home Office,West,France,PRD-1010,A4 Paper Ream,Office Supplies,3,5.51,0.0,16.53,5.93,False,False,2024-07,2024,2024Q3,Thursday,0,0.35874168179068355
